algo,dijkstra_rank_exponent,graph_num_nodes,graph_num_edges,num_queue_pushes,num_settled,num_labels_propagated,num_labels_reset,num_nodes_searched,time_ms,path_distance,path_number_nodes,path_number_flagged_nodes,path_number_short_pauses,path_number_long_pauses
astar_bidir_chpot,7,81505729,189837356,28,15,28,0,15,2.8402570000000003,1062900,15,0,0,0
astar_bidir_chpot,8,81505729,189837356,59,40,60,0,40,6.558217,1382958,40,0,0,0
astar_bidir_chpot,9,81505729,189837356,72,49,72,0,49,3.766196,1601414,49,0,0,0
astar_bidir_chpot,10,81505729,189837356,122,91,122,0,91,4.110427,1884741,91,0,0,0
astar_bidir_chpot,11,81505729,189837356,123,83,125,0,83,6.022930000000001,2157696,83,0,0,0
astar_bidir_chpot,12,81505729,189837356,95,53,96,0,53,4.960363,2400435,53,0,0,0
astar_bidir_chpot,13,81505729,189837356,200,129,200,0,129,4.519743,2669163,129,0,0,0
astar_bidir_chpot,14,81505729,189837356,209,153,209,0,153,7.2402619999999995,3034277,153,0,0,0
astar_bidir_chpot,15,81505729,189837356,291,220,292,0,220,5.961212,3645822,220,0,0,0
astar_bidir_chpot,16,81505729,189837356,379,260,380,0,260,5.138202,4545479,260,0,0,0
astar_bidir_chpot,17,81505729,189837356,368,233,371,0,233,11.383711,5745528,233,0,0,0
astar_bidir_chpot,18,81505729,189837356,591,513,592,0,513,13.292145999999999,7175709,513,0,0,0
astar_bidir_chpot,19,81505729,189837356,759,633,761,0,633,9.065634,9001053,633,0,0,0
astar_bidir_chpot,20,81505729,189837356,925,784,927,0,784,13.372123,13543884,784,0,0,0
astar_bidir_chpot,21,81505729,189837356,6645,5684,7027,2,5339,74.378535,24289184,1405,2,1,0
astar_bidir_chpot,22,81505729,189837356,303643,290572,326450,10,290391,970.121344,32981224,1913,2,1,0
astar_bidir_chpot,23,81505729,189837356,850149,1200048,1312729,77,515316,2136.6812,83550012,2485,4,2,1
